0,1,2,3,4
Platform,Firm,Released[2],Units sold,Ref.
Nintendo DS,Nintendo,2004,154.02 million,[17]
"Game Boy, Game Boy Color",Nintendo,"1989, 1998",118.69 million,[note 2]
PlayStation Portable,Sony,2004,82 million,[note 1]
Game Boy Advance,Nintendo,2001,81.51 million,[17]
Nintendo 3DS,Nintendo,2011,72.89 million,[42]
Nintendo Switch,Nintendo,2017,19.67 million,[42]
Sega Game Gear,Sega,1990,10.62 million,[45]
PlayStation Vita,Sony,2011,10–15 million(estimate),[note 1]
WonderSwan,Bandai,1999,3.5 million,[note 8]
N-Gage,Nokia,2003,3 million,[70]
Atari Lynx,Atari,1989,>1 millionGT,[note 10]
